DATA,LINHA,MARCA,PRODUTO,QTD.,TOTAL
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - CAIXA PORTATIL AMPLIFICADA CA100,1,"218,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - HOME HT723 RADIO AM FM KARAOKE,1,"379,00"
02/01/2020,AUDIO E VIDEO,HP,HP - CALC. CIENTIFICA HP 10 S,1,"54,95"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 TC32FS500B DUAL CORE WI-FI,1,"999,00"
02/01/2020,AUDIO E VIDEO,TCL,TCL - TV 55 LED P65US ULTRA HD 4K WI-FI HDMI USB PRETO,1,"2.299,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY J4 CORE J410 PRETO,1,"699,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - TWIST S511 CINZA CLARO,1,"429,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - TWIST MINI S431 GRAFITE CLARO,1,"299,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - SPEAKER BOOM BT520 BLUETOOTH,1,"159,00"
02/01/2020,CELULARES,LG,LG - CELULAR LG K9 X210 DOURADO RCELL,1,"599,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR P25 PRETO,1,"89,00"
02/01/2020,CELULARES,LG,LG - VOIA CARTAO SD 32GB BRINDE,1,"0,01"
02/01/2020,AUDIO E VIDEO,MOTOBRAS,MOTOBRAS - RADIO PU 32AC USB SD 6FXS,1,"230,00"
02/01/2020,AUDIO E VIDEO,TCL,TCL - TV 65 LED P65US ULTRA HD 4K WI-FI HDMI USB PRETO,1,"3.650,00"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO3E PRETO,1,"369,00"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO5E PRETO,1,"550,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 VERMELHO,1,"899,00"
02/01/2020,AUDIO E VIDEO,TCL,TCL - TV 55 LED P65US ULTRA HD 4K WI-FI HDMI USB PRETO,1,"2.499,00"
02/01/2020,CELULARES,APPLE,APPLE - IPHONE 6S 32GB CINZA ESPACIAL,1,"2.499,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - CIRCULADOR AR TURBO PCR251 220V,1,"249,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR P25 PRETO,1,"89,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR S509 TWIST 2 FIT CINZA,1,"367,08"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY J4 CORE J410 COBRE,1,"699,00"
02/01/2020,AUDIO E VIDEO,FUJI,FUJI - KIT FILME INSTAX MINI 60 FOTOS,1,"185,00"
02/01/2020,AUDIO E VIDEO,FUJI,FUJI - FILME INSTAX MINI 10 FOTOS,6,"0,06"
02/01/2020,AUDIO E VIDEO,LG,LG - SYSTEM CK99 MULTI BLUETOOTH 4100W,1,"3.344,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - CAIXA PORTATIL AMPLIFICADA CA100,5,"1.145,00"
02/01/2020,AUDIO E VIDEO,LG,LG - SPEAKER PK5 XBOOM GO,1,"399,00"
02/01/2020,AUDIO E VIDEO,AQUARIUS,AQUARIUS - GPS 4 RODAS 7 MTC4760 DTV CAMERA DE RE,1,"404,00"
02/01/2020,AUDIO E VIDEO,PIONEER,PIONEER - DVD CAR AVH-G218BT,1,"599,90"
02/01/2020,AUDIO E VIDEO,PHILIPS,PHILIPS - RADIO PORTATIL AE1500X AM FM,7,"174,30"
02/01/2020,AUDIO E VIDEO,MULTILASER,MULTILASER - DVD PLAYER SP252,4,"420,00"
02/01/2020,AUDIO E VIDEO,FUJI,FUJI - CAMERA INSTAX MINI 9 AZUL ACQUA,6,"2.190,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 TC32FS500B DUAL CORE WI-FI,1,"899,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 50 TC50GX500B SMART 4K UHD LED,1,"1.999,00"
02/01/2020,AUDIO E VIDEO,TCL,TCL - TV 32 S6500FS AI IN HD BLUETOOTH,1,"978,00"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 43 UM7500,1,"1.849,00"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 55 OLED C9,1,"6.099,00"
02/01/2020,AUDIO E VIDEO,TCL,TCL - TV 43 S6500FS AI IN HD BLUETOOTH,1,"1.412,00"
02/01/2020,AUDIO E VIDEO,TCL,TCL - TV 40 S6500FS AI IN HD BLUETOOTH,1,"1.159,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 FS600B BLUETOOTH,1,"849,90"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A20 32GB A205 PRETO,3,"2.367,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 PRETO,15,"10.471,80"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR P25 PRETO,1,"89,00"
02/01/2020,CELULARES,MULTILASER,MULTILASER - CEL FLIP UP P9022 PTO,3,"327,00"
02/01/2020,CELULARES,MULTILASER,MULTILASER - CEL UP PLAY P9077 BRANCO,3,"267,00"
02/01/2020,CELULARES,MULTILASER,MULTILASER - CEL MS50L P9051 GRAFITE,1,"369,90"
02/01/2020,CELULARES,DL,DL - CELULAR YC130 DUOS PRETO RS CLARO,2,"304,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR S509 TWIST 2 FIT CINZA,2,"766,08"
02/01/2020,CELULARES,MULTILASER,MULTILASER - CEL MS50L P9051 GRAFITE,1,"368,00"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO1C PRETO,1,"99,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 64GB PRETO,2,"2.498,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 AZUL,1,"1.199,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 PRETO,1,"899,00"
02/01/2020,AUDIO E VIDEO,GRADIENTE,GRADIENTE - TORRE SOUND GCA103 POWER BASS 1500W RMS,1,"1.699,00"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 55 OLED55B9PSB AI THINQ UHD 4K,1,"6.699,00"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 55 SM8600 NANO CELL,1,"3.520,00"
02/01/2020,CELULARES,MULTILASER,MULTILASER - CEL MS50L P9051 GRAFITE,1,"399,00"
